Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos;VariaçãoPatrimonial
KNIP11;Títulos e Val. Mob.;100,90;64117;1,70;1,66;4,04;8,24;14,93;1,35;1,37;1,24;5,35;0,48;2,15;3,8;6947212498,01;97,66;1,03;1,74;0,62;5,73;0;0;0;-1,1
KNSC11;Títulos e Val. Mob.;92,60;33193;1,14;1,20;3,41;7,55;14,13;1,14;1,26;1,18;4,67;-2,27;-1,09;-0,28;1194397975,18;89,97;1,03;1,24;2,8;4,61;0;0;0;1,53
MATV11;Títulos e Val. Mob.;96,78;2;1,30;1,33;3,78;0;0;1,26;0;0;3,78;-0,01;1,32;3,82;33257502,10;95,77;1,01;1,36;-0,59;0,53;0;0;0;-1,92
MCCI11;Títulos e Val. Mob.;99,96;18126;1,00;0,99;2,98;5,92;11,4;0,99;0,99;0,95;2,98;0,32;1,32;2,07;1210958902,24;97,52;1,02;1,03;1,76;2,81;0;0;0;0,73
MCHF11;Títulos e Val. Mob.;9,92;199552;0,11;1,09;3,25;0;0;1,08;0;0;3,25;-0,98;0,1;2,88;315930781,84;9,78;1,01;1,12;-3,3;-2,26;0;0;0;-4,38
MCHY11;Títulos e Val. Mob.;110,70;23;1,30;1,15;3,5;6,77;0;1,17;1,13;0;3,5;2,74;3,92;5,42;375749035,93;104,67;1,06;1,24;3,62;4,94;0;0;0;2,35
MGCR11;Títulos e Val. Mob.;87,45;402;1,00;1,17;3,46;6,67;11,76;1,15;1,11;0,98;3,46;-1,01;0,15;0,45;135199801,61;95,06;0,92;1,05;1,04;2,1;0;0;0;-0,02
MGFF11;Títulos e Val. Mob.;60,63;20980;0,65;1,04;2,8;5,31;9,62;0,93;0,89;0,8;3,67;-1,11;-0,08;2,9;688916761,45;76,12;0,8;0,72;-1,58;-0,88;0;0;0;-2,28
MORC11;Títulos e Val. Mob.;100,89;10415;1,50;1,46;4,06;6,56;0;1,35;1,09;0;4,06;1,54;3,02;6,67;78429486,55;100,56;1;1,49;1,21;2,33;0;0;0;-0,28
MORE11;Títulos e Val. Mob.;68,46;4481;0,70;0,98;2,84;5,5;10,16;0,95;0,92;0,85;2,84;-3,46;-2,52;-3,46;202952841,10;87,51;0,78;0,8;-1,43;-0,66;0;0;0;-2,21
NAVT11;Títulos e Val. Mob.;73,00;4383;0,85;1,13;3,21;5,68;0;1,07;0,95;0;3,21;4,05;5,23;6,38;95026051,40;90,11;0,81;0,94;0;0,82;0;0;0;-0,93
OUFF11;Títulos e Val. Mob.;66,00;1604;0,70;1,03;3,11;5,94;11,02;1,04;0,99;0,92;3,11;3,46;4,53;6,8;142539057,24;78,56;0,84;0,89;1,08;1,18;0;0;0;0,19
OUJP11;Títulos e Val. Mob.;93,34;7164;1,30;1,36;4,16;7,59;12,8;1,39;1,26;1,07;5,37;5,12;6,55;10,34;331455382,48;101,91;0,92;1,26;2,19;4,57;0;0;0;0,92
OURE11;Títulos e Val. Mob.;79,80;1581;0,90;1,09;2,93;6,8;12,7;0,98;1,13;1,06;2,93;0,1;1,19;-1,65;99756147,37;92,62;0,86;0,97;1,62;2,86;0;0;0;0,64
PLRI11;Títulos e Val. Mob.;38,31;410;0,21;0,52;4,06;7,82;10,95;1,35;1,3;0,91;6,8;-4,84;-4,35;12,89;37815549,00;39,63;0,97;0,63;-0,8;0,08;0;0;0;-1,42
PORD11;Títulos e Val. Mob.;92,96;3164;1,41;1,49;3,95;7,54;13,24;1,32;1,26;1,1;5,2;0,52;2,02;6,72;369748397,85;99,17;0,94;1,23;1,53;3,42;0;0;0;0,3
QIRI11;Títulos e Val. Mob.;78,39;2;0,66;0,83;2,42;4,68;8,12;0,81;0,78;0,68;3,18;5,77;6,65;-9,03;13121728,50;87,48;0,9;0,69;1,47;1,64;0;0;0;0,77
RBFF11;Títulos e Val. Mob.;49,91;9860;0,48;0,91;2,77;5,34;9,92;0,92;0,89;0,83;3,61;3,79;4,73;-1,01;242820341,76;64,77;0,77;0,73;1,58;1,32;0;0;0;0,84
RBHG11;Títulos e Val. Mob.;89,37;1083;1,15;1,26;3,77;7,83;13,41;1,26;1,31;1,12;4,84;4,06;5,36;8,06;167175157,21;96,77;0,92;1,14;0,88;3,7;0;0;0;-0,25
RBHY11;Títulos e Val. Mob.;98,70;449;1,30;1,29;3,87;8,47;13,81;1,29;1,41;1,15;4,94;0,35;1,64;3,16;154351628,31;97,59;1,01;1,33;1,54;3,94;0;0;0;0,2
RBRF11;Títulos e Val. Mob.;71,76;24935;0,60;0,84;2,48;4,96;9,5;0,83;0,83;0,79;3,31;-4,33;-3,53;2,17;1149405774,49;84,02;0,85;0,71;-1,14;-0,44;0;0;0;-1,84
RBRR11;Títulos e Val. Mob.;103,35;33521;1,20;1,16;3,4;6,47;11,67;1,13;1,08;0,97;4,47;0,73;1,9;5,05;1023097184,47;98,73;1,05;1,22;1,22;2,35;0;0;0;0,01
RBRY11;Títulos e Val. Mob.;104,64;4021;1,25;1,19;3,52;6,96;12,08;1,17;1,16;1,01;4,6;-1,07;0,11;2,44;351080583,18;103,35;1,01;1,26;0,84;1,96;0;0;0;-0,41
RDPD11;Títulos e Val. Mob.;57,19;39;0,84;1,48;3,6;6,27;10,85;1,2;1,05;0,9;4,59;3,45;4,98;4,87;64528895,11;59,86;0,96;1,4;1,88;5,45;0;0;0;0,47
RECR11;Títulos e Val. Mob.;98,40;54731;1,50;1,50;4,04;7,7;14,24;1,35;1,28;1,19;5,06;-1,84;-0,37;2,31;2311812024,09;95,30;1,03;0;0;0;0;0;0;0
RFOF11;Títulos e Val. Mob.;69,00;1038;0,67;0,94;2,78;5,43;10,13;0,93;0,91;0,84;3,66;-1,11;-0,18;0,84;90138569,32;83,60;0,83;0,78;1,31;-1,81;0;0;0;0,53
RNDP11;Títulos e Val. Mob.;379,00;1;4,26;1,12;2,84;4,83;8,38;0,95;0,8;0,7;3,5;-5,71;-4,65;-34,41;72559446,44;675,09;0,56;0,71;0,95;2,17;0;0;0;0,25
