Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos;VariaçãoPatrimonial
YUFI11B;Residencial;0,00;0;0,79;0,00;0;0;0;0;0;0;0;0;0;0;41298313,05;104,51;0;0,45;0,32;1,84;0;0;0;-0,14
ARCT11;Híbrido;106,30;18201;1,64;1,54;4,41;9,1;14,07;1,47;1,52;1,17;4,41;-3,23;-1,74;1,44;288419391,70;100,20;1,06;1,64;1,87;3,4;0;0;4;0,23
BTAL11;Outros;97,05;5175;0,83;0,83;2,51;5,1;9,14;0,84;0,85;0,76;2,51;2,82;3,67;8,37;620294632,17;103,68;0,94;0,8;1,32;2,1;0;0;7;0,51
HBRH11;Híbrido;82,95;308;0,71;0,85;2,68;6,11;10,4;0,89;1,02;0,87;3,51;-1,28;-0,44;-4,78;311890935,16;112,51;0,74;0,67;0,66;1,96;0;0;3;-0,01
HOSI11;Híbrido;71,00;285;0,36;0,49;1,49;3,49;7,2;0,5;0,58;0,6;2;2,75;3,25;1,97;52466459,54;91,49;0,78;0,39;-1,23;-0,13;0;0;2;-1,61
MFII11;Híbrido;98,27;5073;1,11;1,07;3,29;6,66;12,49;1,1;1,11;1,04;4,36;-0,08;0,99;-1,59;440221295,44;106,16;0,93;1,1;0,36;0,72;0;0;9;-0,73
NVHO11;Hospital;10,60;438;0,08;0,67;1,97;3,5;6,87;0,66;0,58;0,57;2,18;1,67;2,35;4,34;527295317,12;12,71;0,83;0,6;0,64;1,48;0;0;1;0,04
PABY11;Híbrido;7,28;106;0,00;0,00;0;0;0;0;0;0;0;-19,84;-19,84;-31,62;-9546407,61;-12,59;-0,58;0;0;0;0;0;1;0
QAGR11;Outros;45,75;8093;0,39;0,82;2,37;4,69;9,11;0,79;0,78;0,76;2,37;-2,58;-1,78;-2,83;300831716,41;59,69;0,77;0,65;0,62;1,87;0;0;12;-0,03
RZTR11;Híbrido;101,87;25870;1,25;1,20;3,65;7,38;12,45;1,22;1,23;1,04;4,86;2,05;3,27;5,23;1090996667,91;98,75;1,03;1,27;0,8;2,48;0;0;10;-0,46
ABCP11;Shoppings;72,95;859;0,65;0,88;2,14;4,92;8,77;0,71;0,82;0,73;3,18;-1,47;-0,6;2,5;1121419876,00;91,89;0,79;0,54;0,65;2,05;7,5;0;1;0,11
AIEC11;Lajes Corporativas;78,99;7451;0,72;0,90;3,35;5,84;10,22;1,12;0,97;0,85;4,13;-3,94;-3,08;6,58;488386140,04;101,22;0,78;1,29;0,58;1,89;0;0;2;-0,7
ALMI11;Lajes Corporativas;950,00;133;0,00;0,00;0;0;0;0;0;0;0;2,27;2,27;-28,29;249632973,43;2245,37;0,42;0;0;0;64,05;0;1;0
ALZR11;Logística;115,14;8554;0,77;0,67;1,99;3,86;7,18;0,66;0,64;0,6;1,99;4,88;5,58;1,48;642298148,70;108,46;1,06;0,71;0,67;1,34;0;0;15;-0,05
ATSA11;Shoppings;93,99;10;0,25;0,18;0,59;1,3;2,97;0,2;0,22;0,25;0,37;0,74;0,92;1,1;155885814,30;89,02;1,06;0;0;0;21,9;0;1;0
BBFI11B;Lajes Corporativas;1.991,51;202;23,91;1,16;3,82;7,84;14,14;1,27;1,31;1,18;4,87;2,22;3,4;-5,38;370762576,82;2852,02;0,7;1,12;1,25;2,11;39,11;0;2;0,13
BLCA11;Lajes Corporativas;99,00;4;0,51;0,51;1,54;0;0;0,51;0;0;1,54;1,03;1,55;2,58;153292044,08;95,81;1,03;0,53;-1,16;-9,51;0;0;1;-1,68
BLCP11;Outros;86,00;1045;0,51;0,59;1,84;3,17;6,67;0,61;0,53;0,56;1,84;3,68;4,29;9,49;225875176,13;98,37;0,87;0,52;0,51;1,03;6,2;0;2;-0,01
BLMO11;Lajes Corporativas;25.000,00;13;17,51;0,07;0,16;0;0;0,05;0;0;0,16;-4,21;-4,14;-4,08;110936360,78;29216,85;0,86;0,06;0,21;11,5;0;0;1;0,15
BMLC11;Lajes Corporativas;91,00;2;0,74;0,81;2,18;4,62;8,53;0,73;0,77;0,71;2,79;0,62;1,43;3,89;109078796,98;109,25;0,83;0,58;0,57;1,08;7;0;2;-0,01
BNFS11;Outros;117,71;747;1,42;1,20;3,22;6,37;11,76;1,07;1,06;0,98;4,25;-1,25;-0,07;-2,6;69407920,41;99,15;1,19;1,23;1,23;3,94;0;0;18;0
BPML11;Shoppings;70,39;208;0,30;0,43;1,58;0;0;0,53;0;0;0,97;7,43;7,89;8,47;576749054,70;133,97;0,53;0;0;0;5,8;0;7;0
BREV11;Híbrido;95,70;4;0,56;0,59;1,76;3,5;6,82;0,59;0,58;0,57;2,34;-0,31;0,27;2,27;106240382,90;109,84;0,87;0,52;0,51;1,55;0;0;12;-0,01
BTWR11;Lajes Corporativas;105,49;263;0,43;0,41;1,03;1,03;0;0,34;0,17;0;1,03;-2,32;-1,93;-0,39;87900343,13;108,62;0,97;0,34;0,38;0,91;12;0;1;0,04
CEOC11;Lajes Corporativas;61,54;421;0,49;0,78;2,46;4,84;9,1;0,82;0,81;0,76;3,28;1,02;1,81;11,52;164007871,01;90,33;0,68;0,55;0,4;0,92;0;0;1;-0,15
CNES11;Lajes Corporativas;33,00;404;0,07;0,20;0,78;1,85;3,37;0,26;0,31;0,28;0,78;-1,23;-1,03;-1,6;255318975,59;86,57;0,38;0,08;0,05;0,2;56,7;0;1;-0,03
CTXT11;Lajes Corporativas;21,59;91;0,09;0,39;0,78;1,36;5,53;0,26;0,23;0,46;1,36;-2,58;-2,2;-39,31;118328149,81;40,76;0,53;0;0;0;97;0;1;0
CXCE11B;Outros;38,78;427;0,35;0,89;2,64;5,19;12,16;0,88;0,86;1,01;3,45;-5,08;-4,24;-10,26;111048707,32;64,83;0,6;0,54;0,58;2,27;0;0;1;0,04
CXTL11;Logística;273,00;2;0,48;0,16;0,67;1,29;0;0,22;0,22;0;0,42;-6,12;-5,97;-5,73;37052587,58;691,32;0,39;0;0;0;61;0;3;0
DRIT11B;Lajes Corporativas;80,41;1;0,33;0,28;0,8;0;0;0,27;0;0;1,28;5,78;6,07;-7,42;58156919,39;125,53;0,64;0;0;0;10,47;0;6;0
EDFO11B;Lajes Corporativas;206,99;15;1,54;0,73;2,12;4,25;7,55;0,71;0,71;0,63;2,77;-1,86;-1,14;0,89;45273838,88;191,84;1,08;0,79;0,8;2,34;7,1;0;1;0,01
EDGA11;Lajes Corporativas;19,11;2280;0,18;0,90;2,17;3,46;6,61;0,72;0,58;0,55;2,17;0;0,9;-9,81;252351519,37;66,20;0,29;0,26;0,2;0,36;48,81;0;1;-0,06
EURO11;Logística;234,99;302;1,83;0,81;2,5;5;9,24;0,83;0,83;0,77;3,35;4,13;4,97;16,77;119998505,98;312,55;0,75;0,57;0,65;1,81;0;0;6;0,08
EVBI11;Híbrido;95,00;2617;0,75;0,79;2,41;4,85;8,68;0,8;0,81;0,72;2,41;3,55;4,36;5,13;138975156,25;99,43;0,96;0,75;0,42;1,87;0;0;4;-0,33
FAED11;Outros;142,80;393;1,48;1,02;3,04;5,54;10,11;1,01;0,92;0,84;3,93;7,3;8,4;4,12;138823482,78;216,18;0,66;0,71;0,7;1,3;0;0;3;-0,01
FAMB11B;Lajes Corporativas;820,00;13;9,16;0,56;2,17;4,78;10,43;0,72;0,8;0,87;8,82;-47,8;-47,51;-47,8;325344682,76;3104,43;0,26;0;0;0;100;0;1;0
FATN11;Híbrido;100,48;21;0,80;0,81;2,43;4,67;8,78;0,81;0,78;0,73;3,17;5,04;5,89;0,03;99084384,10;100,64;1;0,78;0,24;0,99;4,3;0;7;-0,53
FCFL11;Outros;117,61;1836;0,86;0,74;2,19;4,42;8,22;0,73;0,74;0,68;2,19;3,57;4,34;3,28;364002233,06;104,78;1,12;0,82;0,83;1,63;0;0;1;0,02
FIGS11;Shoppings;50,05;2667;0,37;0,72;2,08;4,04;6,76;0,69;0,67;0,56;2,76;-5,83;-5,15;-3,57;283446158,86;99,45;0,5;0,37;0,33;0,94;13,7;0;2;-0,04
FIIB11;Híbrido;427,50;1997;3,30;0,75;2,17;4,43;8,63;0,72;0,74;0,72;2,17;-1,66;-0,92;-2,97;312887853,27;456,77;0,94;0,72;0,75;2,14;6,28;0;1;0,02
FIIP11B;Logística;156,75;358;1,28;0,80;2,35;4,69;8,72;0,78;0,78;0,73;3,15;-2,85;-2,08;0,67;185971206,38;200,58;0,78;0,64;0,62;2,01;0;0;7;-0,02
FIVN11;Shoppings;2,01;6809;0,00;0,00;0;0;0;0;0;0;0;0;0;0;65708362,04;6,98;0,29;0;0;0;56;0;1;0
FLMA11;Híbrido;116,75;253;0,83;0,70;1,88;3,54;5,9;0,63;0,59;0,49;2,5;-1,23;-0,53;2,8;216587068,40;156,87;0,74;0,46;0,55;1,5;11;0;2;0,09
FLRP11;Shoppings;1.339,98;1;10,00;0,81;2,31;4,06;6,39;0,77;0,68;0,53;2,31;1,61;2,44;4,83;112168724,02;1719,54;0,78;0,58;0,55;1,02;2,01;0;1;-0,03
FPAB11;Lajes Corporativas;213,00;3;1,58;0,73;2,11;4,09;7,26;0,7;0,68;0,61;2,77;0,45;1,19;0,89;307435594,04;409,91;0,52;0,37;0,45;1,16;33,79;0;1;0,08
FVPQ11;Shoppings;114,09;1227;0,70;0,59;1,88;4,15;7,1;0,63;0,69;0,59;2,9;1,11;1,7;20,18;554940922,77;198,18;0,58;0,41;0,38;1,32;5,5;0;1;-0,04
GSFI11;Shoppings;4,44;1689;0,00;0,03;0,03;0,03;0,03;0,01;0;0;0,03;0;0,03;0,03;1003017717,48;13,34;0,33;0;0;0;10,3;0;10;0
HAAA11;Lajes Corporativas;94,70;2;0,54;0,57;1,7;3,41;6,64;0,57;0,57;0,55;2,27;-1,73;-1,16;0,36;325322011,98;94,16;1,01;0,57;0,03;1,02;17;0;1;-0,54
HCRI11;Hospital;244,98;162;2,49;0,88;2,36;4,77;9,33;0,79;0,8;0,78;1,62;-18,08;-17,35;-16,74;51810193,32;259,05;0,95;0;0;0;0;0;1;0
HGBS11;Shoppings;174,00;8504;1,20;0,67;2;3,93;6,04;0,67;0,65;0,5;2,69;-0,61;0,06;9,42;2152562371,83;215,26;0,81;0,53;0,07;1,67;6,5;0;17;-0,46
HPDP11;Shoppings;80,00;10;0,45;0,55;1,64;3,33;5,5;0,55;0,55;0,46;2,18;2,48;3,04;0,35;275455033,81;94,70;0,84;0,48;0,39;1,34;2;0;1;-0,08
HSLG11;Logística;86,70;4690;0,63;0,71;2,12;4,16;7,79;0,71;0,69;0,65;2,82;0,46;1,18;1,77;1402940179,46;110,82;0,78;0;0;0;1,1;0;5;0
HSML11;Shoppings;77,31;16581;0,60;0,74;2,27;4,37;7,72;0,76;0,73;0,64;2,99;0,32;1,07;9,17;1480399877,43;93,81;0,82;0,64;-0,21;1;4,5;0;5;-0,85
HSRE11;Híbrido;99,99;236537;0,56;0,56;1,68;3,69;6,52;0,56;0,62;0,54;2,24;0;0,56;2,26;827096740,73;97,10;1,03;0;0;0;0;0;29;0
HTMX11;Hotel;77,90;959;0,00;0,00;0,8;2,2;5,41;0,27;0,37;0,45;0,8;-28,14;-28,14;-32,26;161857438,79;128,76;0,6;0;0;0;65;0;23;0
JFLL11;Residencial;72,50;974;0,62;0,78;2,45;4,96;9,41;0,82;0,83;0,78;3,23;7,19;8,03;4,15;150273551,74;100,14;0,72;0,62;0,61;1,89;28;0;2;-0,01
JRDM11;Shoppings;75,60;236;0,47;0,62;1,79;4,66;6,83;0,6;0,78;0,57;1,79;2,52;3,16;3,99;220547400,56;87,42;0,86;0,54;0,6;1,49;2,77;0;1;0,06
LASC11;Shoppings;86,79;92;0,61;0,71;2,22;3,85;6,83;0,74;0,64;0,57;2,62;-0,56;0,14;-1,35;283818545,74;112,71;0,77;0,53;0,71;1,04;2,4;0;3;0,18
LGCP11;Logística;75,13;2666;0,60;0,76;2,28;4,38;8,1;0,76;0,73;0,68;3;0,75;1,51;-0,68;278969746,98;102,08;0,74;0,59;0,59;2,39;0,5;0;5;0
LUGG11;Residencial;80,78;179;0,58;0,72;2,13;4;7,35;0,71;0,67;0,61;2,74;0,67;1,4;-5,25;112514128,13;125,02;0,65;0,46;0,41;1,9;2,4;0;4;-0,05
MALL11;Shoppings;101,23;12423;0,72;0,71;2,15;4,31;7,66;0,72;0,72;0,64;2,9;1,72;2,44;8,75;822947483,90;108,85;0,93;0,66;0,25;0,91;4;0;8;-0,41
MAXR11;Outros;79,95;637;0,80;1,01;2,12;4,48;9,56;0,71;0,75;0,8;2,12;-4,09;-3,12;-0,73;135414523,06;120,30;0,66;0,67;0,75;1,52;2,8;0;8;0,08
MBRF11;Outros;690,61;36;10,00;1,42;4,1;8,18;13,54;1,37;1,36;1,13;6,68;-2,44;-1,05;-5,67;113717576,93;1118,56;0,62;0,85;0,9;3,66;0;0;2;0,05
MGLG11;Logística;50,55;324;0,60;1,17;3,49;6,19;0;1,16;1,03;0;4,65;-0,72;0,45;-1,14;54814520,47;47,47;1,06;1,26;-36,89;-41,76;0;0;3;-37,68
NEWL11;Híbrido;97,47;5900;0,80;0,80;2,38;5,28;10,16;0,79;0,88;0,85;3,16;-1,86;-1,07;0,86;236291033,63;116,22;0,84;0,69;0,85;2,47;0;0;2;0,16
NEWU11;Lajes Corporativas;34,49;4;0,00;0,00;0;0,56;16,63;0;0,09;1,39;0,61;-4,04;-4,04;-31,62;48191858,94;64,95;0,53;0;0;0;63,2;0;3;0
NSLU11;Hospital;146,50;3248;1,54;0,76;2,26;4,94;9,49;0,75;0,82;0,79;0,76;0;0,76;0,76;225545577,13;197,02;0,74;0;0;0;0;0;1;0
ONEF11;Lajes Corporativas;156,08;125;0,92;0,59;1,75;3,55;6,54;0,58;0,59;0,54;3;1,38;1,97;18,93;159180390,75;174,73;0,89;0,52;0,47;1,5;0;0;1;-0,05
OULG11;Outros;38,50;2636;0,17;0,39;1,12;3,95;8,39;0,37;0,66;0,7;1,12;-3,54;-3,16;-7,15;182732047,55;73,64;0,52;0,23;0,08;0,46;0;0;2;-0,15
PLOG11;Logística;70,65;696;0,75;1,01;3,2;6,21;11,14;1,07;1,04;0,93;4,24;4,14;5,2;2,86;75161995,93;100,22;0,7;0,78;0,77;2,29;20,4;0;1;-0,01
PQAG11;Logística;57,00;2;0,40;0,67;2,08;4,05;7,52;0,69;0,67;0,63;2,77;6,19;6,9;9,16;796471521,73;56,92;1;0,7;0,8;2,22;0;0;1;0,1
PQDP11;Shoppings;1.996,00;56;15,01;0,74;2,32;4,33;6,93;0,77;0,72;0,58;2,32;0,73;1,48;1,88;800467303,08;3356,58;0,59;0,45;0,38;0,91;3,6;0;1;-0,06
PRSV11;Lajes Corporativas;112,31;20;1,62;0,42;1,53;2,91;5,95;0,51;0,48;0,5;4,46;5,3;5,74;-11,25;46930486,31;240,67;0,47;0;0;0;40,9;0;2;0
PVBI11;Lajes Corporativas;90,02;18187;0,56;0,59;1,84;3,72;7,38;0,61;0,62;0,61;1,84;3,77;4,38;9,22;995275932,69;99,14;0,91;0,56;0,42;0,99;0,1;0;4;-0,14
RBED11;Outros;119,76;1502;1,14;0,93;2,76;5,38;9,87;0,92;0,9;0,82;3,69;-0,5;0,42;5,96;286382825,62;141,66;0,85;0,79;0,86;2,5;0;0;5;0,07
RBGS11;Shoppings;28,45;5157;0,18;0,62;1,59;2,73;5,12;0,53;0,46;0,43;5,12;-1,9;-1,29;-28,71;97865283,71;90,78;0,31;0,18;0,18;1,17;13;0;1;0
RBLG11;Logística;86,00;1;0,80;0,92;2,73;5,44;9,3;0,91;0,91;0,77;2,73;-2,47;-1,58;2,91;66897594,99;104,50;0,82;0,77;2,5;3,3;0;0;1;1,72
RBRD11;Híbrido;44,19;300;0,30;0,66;3,96;5,21;6,4;1,32;0,87;0,53;4,38;-7,33;-6,72;10,5;131808335,67;71,18;0,62;0,42;0,58;1,11;15,52;0;4;0,16
RBVA11;Outros;93,85;7888;0,92;0,93;2,84;5,59;10,75;0,95;0,93;0,9;3,77;0,62;1,55;4,31;1193609672,24;103,00;0,91;0,89;0,84;2,61;0,7;0;72;-0,05
RCRB11;Lajes Corporativas;120,19;4372;0,60;0,48;1,36;2,88;6,41;0,45;0,48;0,53;2,2;-6,58;-6,13;-1,56;723220184,62;195,96;0,61;0,28;0,11;0,5;28,4;0;10;-0,17
RECT11;Híbrido;60,05;15358;0,50;0,80;2,31;4,66;8,88;0,77;0,78;0,74;3,05;-5,45;-4,69;-8,08;791897477,57;96,82;0,62;0;0;0;15,1;0;8;0
RMAI11;Lajes Corporativas;32,95;5;0,26;0,77;2,15;3,22;3,22;0,72;0,54;0,27;3,22;-5,67;-4,95;-12,36;264223694,91;108,12;0,3;0,24;0,2;0,2;23,44;0;1;-0,04
RNGO11;Lajes Corporativas;47,50;2008;0,39;0,78;2,24;4,28;7,84;0,75;0,71;0,65;2,93;4,61;5,43;1,13;234144090,11;87,50;0,54;0,4;0,44;1,22;24,1;0;3;0,04
SARE11;Híbrido;72,40;22642;0,62;0,81;2,57;5,37;9,55;0,86;0,89;0,8;3,45;8,43;9,31;10,15;914554552,25;99,04;0,73;0,63;0,67;1,73;6,2;0;3;0,04
SCPF11;Shoppings;6,00;1060;0,01;0,16;0,45;1,76;2,71;0,15;0,29;0,23;1,16;-3,68;-3,53;-20,09;52314928,60;12,46;0,48;0,11;-0,37;0,31;29,3;0;1;-0,48
SDIL11;Logística;86,90;5781;0,76;0,84;2,51;5,12;9,41;0,84;0,85;0,78;3,39;-0,15;0,68;8,8;623541568,26;97,50;0,89;0,78;0,75;2,36;2,6;0;5;-0,03
SEQR11;Outros;64,90;2268;0,63;0,97;2,77;5,34;10,31;0,92;0,89;0,86;3,64;-6,08;-5,18;-6,67;155101964,23;96,42;0,67;0,65;1;2,35;0;0;0;0,35
SHPH11;Shoppings;803,09;24;3,35;0,41;1,34;2,81;4,75;0,45;0,47;0,4;1,94;-0,35;0,06;4,6;540384470,89;887,40;0,9;0,4;0,36;1,3;10,8;0;1;-0,04
SPTW11;Lajes Corporativas;42,76;2004;0,40;0,90;2,71;5,3;16,3;0,9;0,88;1,36;3,59;-0,83;0,07;1,3;95011188,15;52,84;0,81;0,76;0,81;2,47;0;0;1;0,06
TRNT11;Lajes Corporativas;106,05;539;0,38;0,35;1,04;2,26;4,05;0,35;0,38;0,34;1,04;0,09;0,44;3,08;796806635,95;202,46;0,52;0,19;0,2;0,39;49,9;0;1;0,01
TRXF11;Outros;98,58;10091;0,80;0,80;2,4;4,89;9,08;0,8;0,82;0,76;3,19;0,29;1,09;1,72;709274040,52;97,90;1,01;0,82;-1,78;-0,55;0;0;44;-2,58
VILG11;Logística;97,36;30667;0,70;0,69;2,09;4,16;7,55;0,7;0,69;0,63;2,77;2,8;3,51;1,5;1705713972,90;113,73;0,86;0,62;0,5;1,68;0;0;16;-0,12
VINO11;Lajes Corporativas;47,88;26227;0,34;0,66;2,1;4,63;9,84;0,7;0,77;0,82;2,76;7,56;8,28;1,91;910328271,55;54,95;0,87;0,62;0,31;1,02;4,2;0;9;-0,31
VISC11;Shoppings;100,10;15855;0,70;0,68;2,05;4,15;7,04;0,68;0,69;0,59;2,73;5,06;5,77;5,31;2046512110,46;115,65;0,87;0;0;0;8,3;0;15;0
VIUR11;Títulos e Val. Mob.;72,73;2998;0,76;1,02;2,94;5,71;0;0,98;0,95;0;3,86;3,07;4,12;1,88;258248232,96;95,84;0,76;0;0;0;0;0;6;0
VLOL11;Lajes Corporativas;94,63;446;0,62;0,63;1,74;3,35;6,13;0,58;0,56;0,51;2,29;2,08;2,73;7,25;184797239,14;103,54;0,91;0,51;0,54;1,61;0;0;1;0,03
VSHO11;Shoppings;78,54;22;0,61;0,76;2,23;4,4;8,66;0,74;0,73;0,72;2,95;0,62;1,38;4,94;214879897,14;102,38;0,77;0,6;1,17;2,73;12,96;0;3;0,57
VVPR11;Híbrido;94,00;506;0,77;0,82;2,5;4,89;9,32;0,83;0,82;0,78;2,5;0,86;1,68;3,12;238445073,76;103,41;0,91;0,74;0,76;1,53;0;0;6;0,02
WPLZ11;Shoppings;73,00;30;0,30;0,40;1,23;2,65;0;0,41;0,44;0;1,58;1,36;1,77;5,5;104975969,77;102,84;0,71;0,29;0,38;1;11;0;1;0,09
XPCM11;Lajes Corporativas;16,59;4041;0,18;1,03;3;5,24;10,16;1;0,87;0,85;3,78;2,4;3,45;-5,06;130588319,92;54,08;0,31;0,33;-0,29;-0,22;100;0;1;-0,62
XPHT11;Hotel;96,11;1;0,10;0,10;0,79;1,87;4,87;0,26;0,31;0,41;0,1;0;0,1;0,1;357866379,56;94,06;1,02;0,05;0,06;0,06;64,9;0;5;0
XPML11;Shoppings;95,40;29847;0,66;0,66;2,01;4,02;6,9;0,67;0,67;0,57;2,01;10,43;11,16;8,99;1900967892,10;101,76;0,94;0,65;0,65;1,24;3,9;0;16;0
BBPO11;Lajes Corporativas;80,90;13568;0,89;1,04;3,02;5,91;11,25;1,01;0,99;0,94;3,97;-3,97;-2,97;-5,1;1526316099,47;95,88;0,84;0,93;0,95;2,86;0;0;64;0,02
BBRC11;Outros;96,70;1001;0,94;0,95;2,87;5,63;10,35;0,96;0,94;0,86;3,77;2,65;3,63;2,58;171654236,57;107,96;0,9;0,87;0,94;2,88;5,37;1,08;20;0,07
BLMG11;Logística;80,87;11094;0,80;0,94;2,78;5,54;11,23;0,93;0,92;0,94;3,63;-0,38;0,56;-6,38;377075285,33;98,95;0,82;0,81;-0,9;-0,14;0;0;4;-1,69
BRCO11;Logística;98,98;30128;0,63;0,62;1,9;3,85;7,15;0,63;0,64;0,6;2,55;4,09;4,73;6,95;1757459828,40;118,92;0,83;0,53;0,63;1,75;0;0;10;0,1
BRCR11;Híbrido;67,17;31034;0,50;0,74;2,18;4,31;7,98;0,73;0,72;0,67;2,18;-4,16;-3,45;2,19;2792344880,24;104,82;0,64;0,48;-0,13;0,34;21;25,8;15;-0,61
BTLG11;Logística;103,45;21544;0,72;0,69;2,1;4,17;8,05;0,7;0,7;0,67;2,1;0,58;1,28;3,5;1504876179,16;98,82;1,05;0,73;0,51;1,24;0;2;16;-0,22
CBOP11;Lajes Corporativas;62,68;860;0,49;0,77;2,4;8;12,26;0,8;1,33;1,02;3,07;5,74;6,56;-10,34;127106151,79;89,83;0,7;0,55;-0,05;0,87;33,59;30,79;1;-0,59
GALG11;Híbrido;95,00;5042;0,82;0,86;2,55;5,05;9,81;0,85;0,84;0,82;3,39;-0,57;0,28;-1,28;587429547,37;102,19;0,93;0,8;0,33;1,36;0;0;6;-0,47
GGRC11;Logística;104,89;17915;0,90;0,82;2,45;4,67;8,78;0,82;0,78;0,73;3,2;2,04;2,87;-2,72;1013325814,93;130,61;0,8;0,67;-0,47;0,88;0;0;15;-1,13
GTWR11;Lajes Corporativas;72,58;19997;0,74;0,98;2,8;5,43;9,69;0,93;0,91;0,81;3,67;-7,14;-6,23;-6,74;1183075215,12;98,59;0,74;0,75;0,77;3,12;0;0;1;0,02
HGLG11;Logística;162,00;19391;1,10;0,67;2;4,36;8,91;0,67;0,73;0,74;2,65;0,44;1,11;-1,02;3171272698,85;148,79;1,09;0,74;1,76;2,52;6,9;6,5;17;1,01
HGPO11;Lajes Corporativas;251,20;961;1,35;0,52;1,55;3,24;6,73;0,52;0,54;0,56;2,07;0,48;1;2,17;470200569,72;268,22;0,94;0,5;0,56;1,57;4,99;2,72;2;0,05
HGRE11;Lajes Corporativas;129,79;26127;0,78;0,61;1,7;4,82;8,47;0,57;0,8;0,71;2,22;3,86;4,49;-1,23;1948572514,90;164,89;0,79;0,42;0,33;0,75;27,13;29,17;21;-0,09
HGRU11;Híbrido;114,00;27677;0,82;0,71;2,12;4,09;7,94;0,71;0,68;0,66;2,78;3,22;3,95;3,43;2187188537,90;118,83;0,96;0,69;0,84;2,06;0;0;17;0,15
HLOG11;Logística;89,00;1199;0,65;0,71;2,13;4,15;7,63;0,71;0,69;0,64;2,83;1,66;2,38;1,56;476500751,61;112,12;0,79;0,58;0,22;1,29;58;0;3;-0,35
JSRE11;Híbrido;73,33;42374;0,49;0,63;1,99;4,05;7,85;0,66;0,68;0,65;2,66;6,12;6,79;0,01;2358824611,40;113,58;0,65;0,43;0,04;0,95;14,8;13,4;5;-0,39
KNRI11;Híbrido;131,84;23282;0,84;0,61;1,81;3,65;6,72;0,6;0,61;0,56;2,43;-0,07;0,54;5,91;3796586555,78;157,16;0,84;0,53;0,47;1,82;2;6,72;20;-0,06
LVBI11;Logística;97,30;16521;0,74;0,74;2,18;4,37;7,99;0,73;0,73;0,67;2,18;-0,98;-0,25;3,15;1350472515,23;114,69;0,85;0,65;0,57;1,19;0,5;0;10;-0,08
PATC11;Lajes Corporativas;68,45;3105;0,32;0,47;1,38;2,78;5,61;0,46;0,46;0,47;1,84;-1,45;-0,99;5,66;301512217,27;86,71;0,79;0,37;0,59;1,58;21,9;18,9;6;0,22
PATL11;Híbrido;75,89;10034;0,58;0,75;2,27;4,69;9,13;0,76;0,78;0,76;3,04;1,91;2,68;4,88;489614872,00;98,09;0,77;0,59;0,55;1,84;0;0;4;-0,04
RBCO11;Lajes Corporativas;38,00;8937;0,35;0,83;2,26;4,41;8,78;0,75;0,74;0,73;2,89;-13,44;-12,72;-22,28;324331355,74;85,82;0,44;0,41;-0,22;-13,67;46;50;4;-0,62
RBRL11;Logística;86,48;5671;0,65;0,74;2,17;4,64;8,97;0,72;0,77;0,75;2,82;1,97;2,73;-2,19;713551134,19;106,71;0,81;0,58;0,71;1,83;0;0;6;0,12
RBRP11;Outros;62,40;18579;0,45;0,72;2,12;4,04;7,21;0,71;0,67;0,6;2,78;-3,07;-2,38;-8,04;1001353484,32;82,22;0,76;0,61;0,85;0,2;13;6;17;0,24
RELG11;Híbrido;75,00;3618;0,90;1,21;3,04;6,05;11,12;1,01;1,01;0,93;3,91;-0,34;0,87;-4,12;161551024,45;121,05;0,62;0;0;0;10,4;10,4;3;0
TEPP11;Lajes Corporativas;67,45;990;0,49;0,70;2,08;4,12;7,65;0,69;0,69;0,64;2,72;4,42;5,14;-1,48;382735193,01;90,65;0,74;0,54;0,41;0,64;9,06;18,03;5;-0,13
VTLT11;Logística;90,46;5141;0,83;0,90;2,67;5,16;9,61;0,89;0,86;0,8;3,57;-3,44;-2,57;4,58;218861065,89;103,48;0,87;0,8;0,85;3,45;0;0;1;0,05
XPIN11;Outros;78,44;4888;0,61;0,72;2,19;4,31;8,11;0,73;0,72;0,68;2,19;2,44;3,18;1,15;783583228,00;109,59;0,72;0,56;0,84;1,53;17,3;12;5;0,28
XPLG11;Logística;94,00;34113;0,66;0,67;2,07;4,05;7,57;0,69;0,67;0,63;2,72;0,56;1,24;2,22;3075002122,83;113,46;0,83;0,58;2,35;5,1;8,8;1,2;13;1,75
XPPR11;Outros;54,84;17079;0,45;0,77;2,33;4,78;9,52;0,78;0,8;0,79;3,04;3,94;4,74;-5,89;574700608,58;78,55;0,7;0,57;0,07;-2,41;46;0;4;-0,5
XTED11;Lajes Corporativas;6,13;147;0,00;0,00;0;0;0;0;0;0;0;1,1;1,1;-37,83;27305951,24;13,89;0,44;0;0;0;0;100;1;0
