Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
MBRF11,Outros,1124.0,94.0,8.0,0.7117,0.7308,0.7551,0.7604,0.7117,0.0,0.7117,0.7117,119800958.18,1178.4,95.38,0.0,2
MFII11,Híbrido,99.99000000000001,4907.0,1.16,1.16,1.174,0.8132,0.8027,1.16,0.0,1.16,1.16,203821146.4,101.78,98.24,5.715,9
MGFF11,Títulos e Val. Mob.,93.9,0.0,0.7,0.7455,0.7506,0.6952,0.0,0.7455,0.0,0.7455,0.7455,116458534.02,96.57,97.23,5.715,0
MXRF11,Híbrido,10.73,75606.0,0.06,0.5333,0.5696,0.6175,0.6846,0.5333,0.0,0.5333,0.5333,303926356.05,9.65,111.15,5.715,0
NSLU11,Hospital,225.4,0.0,1.7105,0.7555,0.721,0.7111,0.6758,8.1096,1.7528,2.5216,-7.1959,207208751.88,181.0,124.53,0.0,1
NVHO11,Hospital,28.98,183.0,0.0576,0.1922,0.2011,0.1829,0.4118,0.1922,0.0,0.1922,0.1922,297533702.35,7.17,404.16,5.715,1
ONEF11,Lajes Corporativas,142.87,458.0,0.72,0.504,0.5151,0.5277,0.5306,0.504,0.0,0.504,0.504,101570589.76,111.49,128.14,0.0,1
OUCY11,Títulos e Val. Mob.,90.5,716.0,0.5894,0.6372,0.6809,0.5851,0.0,4.3439,7.5706,8.256,-3.4053,52169665.75,97.71,92.62,5.715,0
OUJP11,Títulos e Val. Mob.,106.88,1507.0,2.4115,2.2556,1.1568,0.894,0.7539,2.2556,0.0,2.2556,2.2556,74302023.51,103.2,103.57,5.715,0
PLRI11,Títulos e Val. Mob.,66.3,256.0,0.2726,0.3809,0.3837,0.6356,0.6659,0.3809,0.0,0.3809,0.3809,76677652.79,80.35,82.51,5.715,0
RBBV11,Títulos e Val. Mob.,75.99,692.0,0.1059,0.1402,0.5595,0.7403,0.6508,0.1402,0.0,0.1402,0.1402,125321923.36,99.92,76.05,5.715,1
RBGS11,Shoppings,43.29,1035.0,0.1838,0.4235,0.3292,0.3165,0.352,0.4235,0.0,0.4235,0.4235,99974706.71,92.74,46.68,12.4,1
RBRD11,Híbrido,87.15,974.0,0.5142,0.5763,0.5777,1.1083,0.8549,0.5763,0.0,0.5763,0.5763,142791897.98,77.11,113.02,0.0,4
RBRF11,Títulos e Val. Mob.,103.47,5307.0,0.5168,0.5061,0.6067,0.622,0.7202,8.6419,2.2122,2.7296,15.327,159024268.85,97.93,105.66,5.715,0
RBRR11,Títulos e Val. Mob.,108.9,14762.0,0.7036,0.6456,0.7372,0.7364,0.0,5.2186,5.2947,5.9745,14.7977,262625197.27,96.24,113.16,5.715,0
RDES11,Lajes Corporativas,73.75,312.0,0.3242,0.4382,0.4035,0.3278,0.3473,0.4382,0.0,0.4382,0.4382,61460913.82,82.83,89.04,50.53,4
RDPD11,Títulos e Val. Mob.,86.5,111.0,0.5,0.5682,0.4828,0.4468,0.0,0.5682,0.0,0.5682,0.5682,104848606.41,97.26,88.94,5.715,0
RNDP11,Títulos e Val. Mob.,952.0,33.0,4.69,0.487,0.5019,0.5276,0.5388,0.487,0.0,0.487,0.487,115042597.63,1070.35,88.94,5.715,0
RNGO11,Lajes Corporativas,82.69,3390.0,0.48,0.5827,0.5713,0.5942,0.6005,0.5827,0.0,0.5827,0.5827,250448048.75,93.59,88.35,9.9,3
SAAG11,Outros,121.0,6593.0,0.87,0.6938,0.687,0.7265,0.7001,0.6938,0.0,0.6938,0.6938,507597592.62,90.14,134.24,5.715,28
SCPF11,Shoppings,11.200000000000001,1784.0,0.1073,0.9584,0.6039,0.5253,0.5005,0.9584,0.0,0.9584,0.9584,48248561.59,11.49,97.5,6.95,1
SDIL11,Logística,107.5,5298.0,0.64,0.5664,0.6127,0.6483,0.6565,0.5664,0.0,0.5664,0.5664,317529261.92,92.76,115.89,0.0,1
SHPH11,Shoppings,956.07,85.0,5.5,0.5753,0.4448,0.4111,0.381,0.5753,0.0,0.5753,0.5753,431598060.05,708.76,134.89,1.8,1
SPTW11,Lajes Corporativas,80.0,2656.0,0.61,0.7578,0.7941,0.7716,0.7465,0.7578,0.0,0.7578,0.7578,134412659.49,74.76,107.01,0.0,2
TBOF11,Lajes Corporativas,85.0,6209.0,0.2905,0.3462,0.2957,0.2909,0.253,3.0358,7.5641,7.9365,4.8274,877287397.79,87.29,97.37,28.2,1
TGAR11,Outros,123.60000000000001,8123.0,0.75,0.605,0.7806,0.6501,0.6655,0.605,0.0,0.605,0.605,118737048.37,125.81,98.25,5.715,0
THRA11,Lajes Corporativas,124.99000000000001,3843.0,0.5909,0.4727,0.4781,0.5093,0.4577,0.4727,0.0,0.4727,0.4727,150843636.19,102.42,122.03,0.0,1
TRNT11,Lajes Corporativas,193.0,434.0,0.6407,0.3463,0.3457,0.3035,0.2593,3.1112,3.9326,4.2925,7.2064,783616559.78,199.11,96.93,20.1,1
TRXL11,Logística,94.29,2633.0,0.3655,0.44,0.4713,0.4765,0.469,0.44,0.0,0.44,0.44,189069283.2,101.24,93.13,24.6,6
UBSR11,Títulos e Val. Mob.,105.2,5300.0,0.837,0.7956,0.7883,1.187,0.9862,0.7956,0.0,0.7956,0.7956,149278994.27,97.73,107.64,5.715,0
VGIR11,Títulos e Val. Mob.,101.29,609.0,0.8604,0.8519,0.0,0.0,0.0,1.5719,1.0,1.8604,2.5938,39131017.8,97.43,103.96,5.715,0
VISC11,Shoppings,107.76,24704.0,0.6042,0.5647,0.5663,0.5916,0.5824,0.5647,0.0,0.5647,0.5647,824888787.71,101.08,106.61,4.8,9
VLOL11,Lajes Corporativas,96.05,2358.0,0.3765,0.3883,0.4083,0.3957,0.3969,0.3883,0.0,0.3883,0.3883,152466246.11,85.42,112.44,0.0,1
VOTS11,Títulos e Val. Mob.,96.37,142.0,0.51,0.5574,0.3833,0.3599,0.0,0.5574,0.0,0.5574,0.5574,80744605.17,97.53,98.81,5.715,0
VRTA11,Títulos e Val. Mob.,123.60000000000001,6448.0,1.02,0.8207,0.8578,0.8997,0.7986,0.8207,0.0,0.8207,0.8207,227917848.27,101.67,121.57,5.715,0
VSHO11,Shoppings,102.5,406.0,0.7677,0.6979,0.0,0.0,0.0,0.6979,0.0,0.6979,0.6979,213295384.01,101.63,100.86,6.16,3
VTLT11,Logística,101.0,480.0,1.4067,1.4002,0.9055,0.783,0.0,5.3621,-0.1491,1.249,5.9697,205210319.08,97.03,104.1,5.715,0
WPLZ11,Shoppings,73.5,232.0,0.3749,0.4946,0.3573,0.4654,0.4393,5.2718,5.2778,5.7985,5.1692,78909249.31,79.76,92.15,8.6,1
XPCM11,Lajes Corporativas,97.24000000000001,4560.0,0.85,0.8646,0.8909,0.8727,0.8448,0.8646,0.0,0.8646,0.8646,199898665.91,82.79,117.46,0.0,1
XPIN11,Outros,119.2,1714.0,0.77,0.6892,0.5979,0.5306,0.2653,3.1838,2.4954,3.2018,15.3237,191114488.69,115.72,103.01,0.0,2
XPLG11,Logística,101.11,12556.0,0.67,0.6569,0.6601,0.6638,0.0,0.6569,0.0,0.6569,0.6569,351766570.28,96.08,105.23,0.0,5
XPML11,Shoppings,106.0,16227.0,0.8841,0.8262,0.6851,0.6034,0.536,6.4316,1.963,2.8055,9.3106,510806897.8,102.47,103.45,4.6,7
